Part No.,Part description,Group number,Group name
#8053-4 Facing EMEA Assy,UK,AG-00006,Finished Goods
#8121 - 4 Facing EMEA Assy,Ireland,AG-00006,Finished Goods
#94 X 44 X 230Mic Card White Card for Metabins,White Card for Metabins,AG-00001,Bought Outs
#Assembly Instruction Leaflet Non Stacked,Non Stacked Leaflet,AG-00001,Bought Outs
#Assembly Instruction Leaflet Stacked,Stacked Leaflet,AG-00001,Bought Outs
#Assembly Leaflet EMEA 4&5 Facing,EMEA Instuction Leaflet,AG-00001,Bought Outs
#GEM- 010112A-ARTV1246 Black,SPARKLE 296mm SHELF REAR ONLY,AG-00006,Finished Goods
#HIS-HCX2 Handle and Bracket Trial,Handle and Bracket 'Mafill Trial',AG-00006,Finished Goods
#HLN-90018154 (171233) 36mm Door Frame Corner,36mm Door Frame Corner,AG-00006,Finished Goods
#Long UK LED Strip 595,LED Lamp Long 595,AG-00001,Bought Outs
#PPS Fortron PPS-GF40 (1140L4),PPS Fortron PPS-GF40 (1140L4),AG-00002,Raw Materials
#STI-ML5-CF 50/50 MIX Carbon Fibre + O/Mould,50/50 MIX Carbon Fibre,AG-00006,Finished Goods
#STI-ML5-MRP-G-UK,Grey Stique-Branded ML5 w/ Blue Overmould (UK Version),AG-00006,Finished Goods
#VIT-STR X-POST CAP-del1510128973-del1510129041 DRG 606.07.02,DRG 606.07.02,AG-00006,Finished Goods
'H' Spring No 10180212,Variable Force Spring 50mm @ 1.30N +/- 10% (1.20-1.40) 235mm @ 4.75 +/-10% (4.25-5.20),AG-00068,POS Bought Outs
010-EX-P2341-C2000,POLYPLAS 2341 PROFILE CLR 2000MM LENGTHS,AG-00068,POS Bought Outs
010-EX-R1861-C2000,REAR SHELF SPRING EXTRUSN CLEAR 2000MM LENGTHS (BOOTS 17 2005),AG-00068,POS Bought Outs
010-EX-R1901-2-C2000,SHELF TICKET STRP EXTRUSN CLEAR 2000MM LENGTHS (BOOTS NC 2006),AG-00068,POS Bought Outs
010-EX-WLK39-C2520,VK RENZEL WLK39 TKT STRIP 2520MM RAW LENGTH CLEAR EXTRUSION,AG-00006,Finished Goods
010104-G-BLK,AF010104G001 010104G,AG-00066,POS Finished Goods
010104G-50T-BLK-N,Nail Pusher,AG-00066,POS Finished Goods
010104G-BLK,AF010104G001 010104G,AG-00066,POS Finished Goods
010104G-BLK-ASSY-X,Nail Pusher,AG-00066,POS Finished Goods
010104G-NAT,AF010104G003 010104G,AG-00066,POS Finished Goods
010104G-NAT-ASSY-N,NAIL PUSHER £ URBAN CONNECTIONS,AG-00066,POS Finished Goods
010104G-NAT-ASSY-Q,NAIL PUSHER £ URBAN CONNECTIONS,AG-00066,POS Finished Goods
010104G-NAT-ASSY-X,Nail Pusher,AG-00066,POS Finished Goods
010104G-NAT-X-AS,Nail Pusher,AG-00066,POS Finished Goods
010109C3-50T-BLK-ASSY-N,Effet 3D New York Pusher,AG-00066,POS Finished Goods
010109C3-50T-NAT-ASSY-N,Effet 3D New York Pusher,AG-00066,POS Finished Goods
010109C3-BLK,Effet 3D New York Pusher,AG-00066,POS Finished Goods
010109C3-NAT,010109C,AG-00066,POS Finished Goods
010109C3-NAT-ASSY-X,Effet 3D New York Pusher,AG-00066,POS Finished Goods
010112-AI1,AF010112AI11 010112AI,AG-00006,Finished Goods
010112-AI1-PURCH-BLK,AF010112AI11 010112AI,AG-00006,Finished Goods
010112-AI2,AF010112AI21 010112AI,AG-00006,Finished Goods
010112-AI2-PURCH-BLK,AF010112AI21 010112AI,AG-00006,Finished Goods
010112-AX,37MM SUPERLINER BASE ADAPTOR,AG-00006,Finished Goods
010112-B,Sparkle 296mm Shelf Front - NO BLOCKING,AG-00006,Finished Goods
010112-C,Sparkle 296mm Shelf Lens,AG-00006,Finished Goods
010112-D1,AF010112D012 010112D,AG-00006,Finished Goods
010112-D2,AF010112D013 010112D,AG-00006,Finished Goods
010112-D3,AF010112D011 010112D,AG-00006,Finished Goods
010112-D4,AF010112D010 010112D,AG-00006,Finished Goods
010112-D5,AF010112D009 010112D,AG-00006,Finished Goods
010112-N,AF010112N004 010112N,AG-00006,Finished Goods
010112-O1,AF010112O101 010112O,AG-00006,Finished Goods
010112A-ARTV1246,Sparkle 296mm Shelf Rear,AG-00006,Finished Goods
010112A-BLACK,Sparkle 296mm Shelf Rear,AG-00006,Finished Goods
010112A-BLK,Sparkle 296mm Shelf Rear,AG-00006,Finished Goods
010112A-WHITE,SPARKEL SHELF REAR PURCHASED TOOL 2075-003-10301,AG-00006,Finished Goods
010112A-WHT-1IMP,AF010112A004 010112A,AG-00006,Finished Goods
010112A-WHT-QUOTE-1IMP,AF010112A004 010112A,AG-00006,Finished Goods
010112AD1-270T-CL-A1,111MM LUMI MAGIQUE FOUNDA CASSETTE BODY 270T 2+2 GP CLEAR,AG-00006,Finished Goods
010112AD1-270T-CL-A2,111MM LUMI MAGIQUE FOUNDA CASSETTE BODY 270T 2+2 GP CLEAR,AG-00006,Finished Goods
010112AD1-270T-CL-A5,111MM LUMI MAGIQUE FOUNDA CASSETTE BODY 270T 2+2 GP CLEAR,AG-00006,Finished Goods
010112AD1-CLR,AF010112A017 010112AD,AG-00006,Finished Goods
010112AE-NAT-ASSY,LUMI MAGIQUE PUSHER,AG-00006,Finished Goods
010112AF3/4-CLR-2H-A,LSN-007 74MM 3 STOCK COL RICHE NAILS UPPER AND LOW CASS AF3X1/AF4X1,AG-00006,Finished Goods
010112AG-CLR,74MM COLOUR RICHE NAILS BASE,AG-00006,Finished Goods
010112AH-110T-ART-A1,74MM PENCIL CASSETTE BODY LMP-002 2HIGH BLACK 110T 2IMP GP+ARTV1246,AG-00006,Finished Goods
010112AH-110T-ART-A2,AFLMP0030001 LMP-003 010112AH,AG-00006,Finished Goods
010112AH-110T-ART-A3,74MM PENCIL CASSETTE BODY LMP-004 4HIGH BLACK 110T 2IMP GP+ARTV1246,AG-00006,Finished Goods
010112AH-110T-ART-A4,74MM PENCIL CASSETTE BODY LMP-005 5HIGH BLACK 110T 2IMP GP+ARTV1246,AG-00006,Finished Goods
