Part No.,Part description,Group number,Group name
000012GNW,Hockey Stick 38mm White 1659mm,AG-00042,Lower Level - Extrusion
000013GNB,Hockey Stick 38mm Black 1578mm,AG-00042,Lower Level - Extrusion
000017GNW,Hockey Stick Conduit 48mm White 2000mm,AG-00042,Lower Level - Extrusion
000021GNB,Hockey Stick Conduit 38mm Black 1700mm,AG-00042,Lower Level - Extrusion
000021GNW,Hockey Stick Conduit 38mm White 1700mm,AG-00042,Lower Level - Extrusion
07917PLWHI,SURF MOUNT PVC BOX,AG-00016,OBSOLETE
07977PLWHI,CORD CONNECTOR (MALE),AG-00016,OBSOLETE
07978PLWHI,CORD CONNECTOR (FEMALE),AG-00016,OBSOLETE
08423PLWHI,SURF MOUNTING PVC BOX,AG-00016,OBSOLETE
08424PLWHI,SURF.MOUNTING PVC BOX,AG-00016,OBSOLETE
08620PS,LABEL BULK,AG-00053,Component
08620PS000AS,LABEL,AG-00053,Component
10001 - Phase Out,DELRIN 500 NATL NC10,AG-00002,Raw Material
10278PM000B,LABEL (XX525) PLAIN,AG-00012,Consumable
10845PM,Plain Label 80 x 40mm (WEL),AG-00012,Consumable
10906959,NAL Lift Lock - Wormlock,AG-00014,Finished Goods - Moulding
10906961,Lift Lock - Frame Ramp,AG-00014,Finished Goods - Moulding
10906967,NAL Lift Lock - Cover / Frame Interlock,AG-00014,Finished Goods - Moulding
11074PM,BULK CARTON,AG-00049,Packaging
11554PLWHI,MOULDED BOX,AG-00016,OBSOLETE
11642PLWHI-FAB,2 MODULE BEZEL,AG-00026,Lower Level - Moulding
11644PLBLK,GASKET,AG-00053,Component
11648PS00001,SCREW ST PAN HD POZI,AG-00053,Component
12004A,CYCOLAC T WHITE 25020,AG-00002,Raw Material
12194,Magnum 3513 Natural,AG-00056,PCE Phase Out
12195,ABS DDNS9993 BLK,AG-00002,Raw Material
12197A,FORMULATION 12194 AND A144,AG-00016,OBSOLETE
12199,FORMULATION 12194 AND A114,AG-00016,OBSOLETE
12351PM,BULK CARTON,AG-00049,Packaging
12863PM,RIBBON BLACK 110MMX450M,AG-00012,Consumable
13138PM,STANDARD CARTON (ASHLEY),AG-00049,Packaging
13140PM,BULK CARTON (PLAIN),AG-00049,Packaging
13149,FORMULATION 13151 AND A143,AG-00002,Raw Material
13155,MDM54 0060 NATURAL,AG-00056,PCE Phase Out
13158,ALTECH PA6 C1000 / 588 GY10480,AG-00056,PCE Phase Out
13159,ALBIS NYLON 7046 LGY,AG-00002,Raw Material
13160,ALTECH PA6 C1000/588 RD2136-07 RED,AG-00056,PCE Phase Out
13401PM000BO,LABEL - B&Q,AG-00049,Packaging
13446PM,AUTOBAG MK 230X160,AG-00049,Packaging
13720PM,RIBBON BLUE CR707 110MMX300M,AG-00012,Consumable
13867PM,THERMAL RIBBON 25TT4BK20Z ULTRA PRINT,AG-00053,Component
14119,PC A 910 FR GREY CM10233,AG-00002,Raw Material
14120,AT PC ECO 1000/141 GY10178,AG-00016,OBSOLETE
14122,PC A910 FR WHITE CM10262,AG-00002,Raw Material
14125 - Phase Out,AT PC ECO 1000/141 BK5088 - BLACK,AG-00002,Raw Material
14126,POLYCARB INJG W85 CM10269 OCTABIN,AG-00002,Raw Material
14127,ALTECH PC C1000/128 TGY 10523,AG-00002,Raw Material
14130,AT PC C1000/141 GY2153-07,AG-00002,Raw Material
14133,MAKROLON 3107 550115,AG-00002,Raw Material
14134,RAL9010 AT PC C1000/141 WT2083-02083-07,AG-00002,Raw Material
14140,ALTECH PC ECO 1000/542 GREY,AG-00016,OBSOLETE
14822PM,CM SAMPLE CARTON + INFILLS,AG-00049,Packaging
14898pm,SMALL YELLOW RS LABEL,AG-00012,Consumable
15286PM,Single Wall Carton 0713 180 x 155 x 88mm,AG-00049,Packaging
15288PM,Single Wall Carton 0713 100 x 100 x 92mm,AG-00049,Packaging
15293PM,Single Wall Carton 0713 175 x 115 x 90mm MK,AG-00049,Packaging
15294PM,Single Wall Carton 0713 173 x 97 x 97mm,AG-00049,Packaging
15295PM,STANDARD CARTON 220 X 95 X 107,AG-00049,Packaging
15296PM,STANDARD CARTON (205 X 97 X 92MM),AG-00016,OBSOLETE
15297PM,Single Wall Carton 0713 220 x 97 x 107mm,AG-00049,Packaging
15298PM,Single Wall Carton 0713 193 x 155 x 97mm MK Strip,AG-00049,Packaging
15299PM,STANDARD CARTON 242 X 152 X 97,AG-00049,Packaging
15300PM,Single Wall Carton 0713 181 x 172 x 90mm,AG-00049,Packaging
15304PM,STANDARD CARTON 222 X 178 X 90,AG-00049,Packaging
15431PM,Single Wall Carton 0427 260 x 240 x 110mm MK PRINTED,AG-00049,Packaging
15440PM,Single Wall Carton 0713 175 x 115 x 90mm,AG-00049,Packaging
15444PM,Single Wall Carton 0713 193 x 155 x 97mm,AG-00016,OBSOLETE
15463PM,Ptd Die-Cut Crash Lock 430 x 230 x 100,AG-00049,Packaging
16157,Braskem PP DR7051.01 NATURAL,AG-00002,Raw Material
17011,CARLON LAY-IN WIREWAY (CLT1),AG-00016,OBSOLETE
17013,CARLON LAY-IN WIREWAY (CLT3),AG-00016,OBSOLETE
17017,CARLON LAY-IN WIREWAY (CLT9),AG-00016,OBSOLETE
17079,LAQRENE 102 GREY RAL 7035,AG-00002,Raw Material
18064,FE4036POR BLACK K015,AG-00002,Raw Material
18066,FE4036POR WHITE 0410,AG-00016,OBSOLETE
18701PS,KNOB CAP,AG-00016,OBSOLETE
